,T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
10629.0,22.333333333333336,24.53000333820933,26.326234673794673,8.826994906274853,43.18819633277815,0.0,-43.18819633277815,26.326234673794673,-34.36120142650329, 08/22  09:10:00
10630.0,22.366666666666664,24.53000030614761,26.204536943575377,8.827006181781535,43.14867435905417,0.0,-43.14867435905417,26.204536943575377,-34.321668177272635, 08/22  09:11:00
10631.0,22.400000000000006,24.530000028027548,26.081975244553426,8.827007212751411,43.16706272122935,0.0,-43.16706272122935,26.081975244553426,-34.34005550847794, 08/22  09:12:00
10632.0,22.433333333333334,24.530000002568226,25.95854857951398,8.82700730731846,43.16877691281064,0.0,-43.16877691281064,25.95854857951398,-34.34176960549218, 08/22  09:13:00
10633.0,22.46666666666667,24.530000000235233,25.834256246507554,8.827007315975196,43.16924185555898,0.0,-43.16924185555898,25.834256246507554,-34.342234539583785, 08/22  09:14:00
10634.0,22.5,24.53000000002156,25.709097850734764,8.827007316768468,43.1682724511337,0.0,-43.1682724511337,25.709097850734764,-34.34126513436524, 08/22  09:15:00
10635.0,22.53333333333333,24.530000000001984,25.583073316373337,8.827007316841124,43.16639218568555,0.0,-43.16639218568555,25.583073316373337,-34.33938486884443, 08/22  09:16:00
10636.0,22.566666666666666,24.53000000000019,25.456182898332745,8.827007316847778,43.163625767066904,0.0,-43.163625767066904,25.456182898332745,-34.33661845021913, 08/22  09:17:00
10637.0,22.6,24.530000000000026,25.32842719392164,8.827007316848388,43.1599661391807,0.0,-43.1599661391807,25.32842719392164,-34.332958822332316, 08/22  09:18:00
10638.0,22.633333333333333,24.530000000000012,25.19980715441347,8.827007316848444,43.155452981649105,0.0,-43.155452981649105,25.19980715441347,-34.32844566480066, 08/22  09:19:00
10639.0,22.666666666666668,24.53000000000001,25.070324096494776,8.82700731684845,43.14825558302468,0.0,-43.14825558302468,25.070324096494776,-34.32124826617623, 08/22  09:20:00
10640.0,22.7,24.53000000000001,24.939979713581668,8.82700731684845,43.139611850299254,0.0,-43.139611850299254,24.939979713581668,-34.3126045334508, 08/22  09:21:00
10641.0,22.733333333333334,24.530000000000012,24.808776086988527,8.82700731684845,43.130105841578775,0.0,-43.130105841578775,24.808776086988527,-34.30309852473032, 08/22  09:22:00
10642.0,22.76666666666667,24.53000000000001,24.67671569693414,8.82700731684845,43.11977042389057,0.0,-43.11977042389057,24.67671569693414,-34.29276310704212, 08/22  09:23:00
10643.0,22.8,24.53000000000001,24.543801433369552,8.82700731684845,43.10860011207027,0.0,-43.10860011207027,24.543801433369552,-34.28159279522182, 08/22  09:24:00
10644.0,22.833333333333332,24.53000000000001,24.410036606612362,8.82700731684845,43.09663055553028,0.0,-43.09663055553028,24.410036606612362,-34.26962323868183, 08/22  09:25:00
10645.0,22.866666666666667,24.53000000000001,24.275424957771616,8.82700731684845,43.082405265756975,0.0,-43.082405265756975,24.275424957771616,-34.255397948908524, 08/22  09:26:00
10646.0,22.900000000000006,24.530000000000012,24.139970668948447,8.82700731684845,43.066775582031845,0.0,-43.066775582031845,24.139970668948447,-34.23976826518339, 08/22  09:27:00
10647.0,22.93333333333333,24.530000000000012,24.003678373195946,8.82700731684845,43.05029823093879,0.0,-43.05029823093879,24.003678373195946,-34.22329091409034, 08/22  09:28:00
10648.0,22.966666666666665,24.53000000000001,23.866553164223916,8.82700731684845,43.03304523184124,0.0,-43.03304523184124,23.866553164223916,-34.20603791499279, 08/22  09:29:00
10649.0,23.0,24.530000000000012,23.728600605831915,8.82700731684845,43.015008641643554,0.0,-43.015008641643554,23.728600605831915,-34.1880013247951, 08/22  09:30:00
10650.0,23.033333333333335,24.53000000000001,23.608835556365534,8.856218209958152,43.03572494355348,0.0,-43.03572494355348,23.608835556365534,-34.17950673359533, 08/22  09:31:00
10651.0,23.06666666666667,24.53000000000001,23.487972246672655,8.856218209958152,43.02497908253773,0.0,-43.02497908253773,23.487972246672655,-34.16876087257958, 08/22  09:32:00
10652.0,23.1,24.530000000000012,23.366015303490002,8.856218209958152,43.01193720056981,0.0,-43.01193720056981,23.366015303490002,-34.15571899061166, 08/22  09:33:00
10653.0,23.133333333333333,24.53000000000001,23.242969890596516,8.856218209958152,42.99797816124674,0.0,-42.99797816124674,23.242969890596516,-34.14175995128859, 08/22  09:34:00
10654.0,23.166666666666664,24.53000000000001,23.11884171954556,8.856218209958152,42.983193148477724,0.0,-42.983193148477724,23.11884171954556,-34.126974938519574, 08/22  09:35:00
10655.0,23.2,24.53000000000001,22.99363706009001,8.856218209958152,42.96761721468864,0.0,-42.96761721468864,22.99363706009001,-34.11139900473049, 08/22  09:36:00
10656.0,23.233333333333334,24.530000000000012,22.86736275028226,8.856218209958152,42.951277126065094,0.0,-42.951277126065094,22.86736275028226,-34.09505891610694, 08/22  09:37:00
10657.0,23.26666666666667,24.53000000000001,22.7400262062324,8.856218209958152,42.93322684388465,0.0,-42.93322684388465,22.7400262062324,-34.077008633926496, 08/22  09:38:00
10658.0,23.3,24.53000000000001,22.611635431506347,8.856218209958152,42.94861247483627,0.0,-42.94861247483627,22.611635431506347,-34.092394264878116, 08/22  09:39:00
10659.0,23.333333333333336,24.530000000000012,22.48219902614727,8.856218209958152,42.92950534660764,0.0,-42.92950534660764,22.48219902614727,-34.07328713664949, 08/22  09:40:00
10660.0,23.366666666666667,24.53000000000001,22.35172619530256,8.856218209958152,42.909249037476975,0.0,-42.909249037476975,22.35172619530256,-34.053030827518825, 08/22  09:41:00
10661.0,23.4,24.53000000000001,22.220226757439843,8.856218209958152,42.88828477586097,0.0,-42.88828477586097,22.220226757439843,-34.03206656590282, 08/22  09:42:00
10662.0,23.433333333333334,24.53000000000001,22.087711152134467,8.856218209958152,42.86626131762327,0.0,-42.86626131762327,22.087711152134467,-34.01004310766512, 08/22  09:43:00
10663.0,23.466666666666665,24.53000000000001,21.95419044741238,8.856218209958152,42.84262661691625,0.0,-42.84262661691625,21.95419044741238,-33.9864084069581, 08/22  09:44:00
10664.0,23.5,24.53000000000001,21.81967634663149,8.856218209958152,42.81796801429737,0.0,-42.81796801429737,21.81967634663149,-33.96174980433922, 08/22  09:45:00
10665.0,23.533333333333335,24.530000000000012,21.68418119488537,8.856218209958152,42.79254765768597,0.0,-42.79254765768597,21.68418119488537,-33.93632944772782, 08/22  09:46:00
10666.0,23.566666666666666,24.53000000000001,21.547717984913277,8.856218209958152,42.76639685061426,0.0,-42.76639685061426,21.547717984913277,-33.910178640656106, 08/22  09:47:00
10667.0,23.6,24.53000000000001,21.410300362500728,8.856218209958152,42.739400736675016,0.0,-42.739400736675016,21.410300362500728,-33.883182526716865, 08/22  09:48:00
10668.0,23.633333333333333,24.53000000000001,21.271942631355255,8.856218209958152,42.71165987691555,0.0,-42.71165987691555,21.271942631355255,-33.8554416669574, 08/22  09:49:00
10669.0,23.666666666666664,24.53000000000001,21.13265975744199,8.856218209958152,42.682211216152936,0.0,-42.682211216152936,21.13265975744199,-33.825993006194786, 08/22  09:50:00
10670.0,23.7,24.53000000000001,20.99246737276475,8.856218209958152,42.651725342992286,0.0,-42.651725342992286,20.99246737276475,-33.795507133034135, 08/22  09:51:00
10671.0,23.733333333333334,24.53000000000001,20.851381778577647,8.856218209958152,42.62051343762782,0.0,-42.62051343762782,20.851381778577647,-33.76429522766967, 08/22  09:52:00
10672.0,23.76666666666667,24.53000000000001,20.709419948013874,8.856218209958152,42.58860053118172,0.0,-42.58860053118172,20.709419948013874,-33.73238232122357, 08/22  09:53:00
10673.0,23.8,24.530000000000012,20.56659952811737,8.856218209958152,42.555976159657135,0.0,-42.555976159657135,20.56659952811737,-33.699757949698984, 08/22  09:54:00
